,id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,frontage_pct,total_porch_sf,total_sf,has_pool,has_garage,has_basement,has_porch,Artery,Feedr,PosA,PosN,RRAe,RRAn,RRNe,RRNn,AsphShn,Brk Cmn,BrkComm,BrkFace,CBlock,CemntBd,CmentBd,HdBoard,ImStucc,MetalSd,Plywood,Stone,Stucco,VinylSd,Wd Sdng,Wd Shng,WdShing,bsmt_sf_ALQ,bsmt_sf_BLQ,bsmt_sf_GLQ,bsmt_sf_LwQ,bsmt_sf_NA,bsmt_sf_Rec,bsmt_sf_Unf,total_bath
266,2712,905105010,20,RL,75.0,9000,Pave,NA,3,Lvl,AllPub,Corner,2,Sawyer,1Fam,1Story,5,6,1966,1966,Gable,CompShg,None,0.0,3,3,CBlock,3.0,3.0,1.0,286.0,1059.0,GasA,4,Y,SBrkr,1059,0,0,1059,1.0,0.0,1,0,3,1,3,6,8,0,0,Attchd,1966.0,0.0,1.0,286.0,3,3,2,0,88,0,0,0,0,0,2,NA,0,6,2006,WD ,142500,0.007470015842525748,88,2206.0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0.0,0.0,773.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
267,2051,905101070,20,RL,62.0,14299,Pave,NA,3,Lvl,AllPub,Inside,2,Sawyer,1Fam,1Story,4,3,1964,1964,Gable,CompShg,None,0.0,3,3,CBlock,3.0,3.0,1.0,348.0,1005.0,GasA,3,Y,SBrkr,1005,0,0,1005,1.0,0.0,1,0,3,1,3,5,8,0,0,Detchd,1964.0,1.0,2.0,440.0,3,3,0,0,0,0,0,0,0,0,3,NA,0,7,2007,WD ,115400,0.007470015842525748,0,2010.0,0,1,1,0,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,513.0,0.0,1.0
314,1824,532376090,20,RL,40.0,13673,Pave,NA,2,Lvl,AllPub,CulDSac,2,Sawyer,1Fam,1Story,5,5,1962,1962,Gable,CompShg,None,0.0,3,4,CBlock,3.0,3.0,1.0,1140.0,1140.0,GasA,3,Y,SBrkr,1696,0,0,1696,0.0,0.0,1,1,3,1,3,8,6,1,3,Attchd,1962.0,2.0,1.0,349.0,3,3,2,0,30,0,0,0,0,0,0,NA,0,3,2007,WD ,143900,0.007470015842525748,30,2866.0,0,1,1,1,0,0,0,0,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
329,1825,532377050,20,RL,84.0,7476,Pave,NA,3,Lvl,AllPub,Corner,2,Sawyer,1Fam,1Story,5,7,1968,1968,Gable,CompShg,None,0.0,3,3,CBlock,3.0,3.0,1.0,228.0,1040.0,GasA,3,Y,SBrkr,1040,0,0,1040,1.0,0.0,1,1,3,1,3,5,8,0,0,Detchd,1991.0,0.0,2.0,686.0,3,3,2,188,0,0,0,0,0,0,0,NA,0,6,2007,WD ,145000,0.007470015842525748,188,2268.0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812.0,0.0,1.5
346,2724,905200490,80,RL,76.53778232251881,10246,Pave,NA,2,Lvl,AllPub,CulDSac,2,Sawyer,1Fam,SLvl,4,9,1965,2001,Gable,CompShg,None,0.0,3,4,CBlock,3.0,4.0,3.0,0.0,648.0,GasA,5,Y,SBrkr,960,0,0,960,1.0,1.0,0,0,0,1,3,3,8,0,0,Attchd,1965.0,1.0,1.0,364.0,3,3,2,88,0,0,0,0,0,0,0,NA,0,5,2006,WD ,145000,0.007470015842525748,88,1696.0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,648.0,0.0,0.0,0.0,0.0,0.0
351,762,904100190,20,RL,50.0,4280,Pave,NA,2,Lvl,AllPub,Inside,2,Sawyer,1Fam,1Story,4,9,1946,2001,Gable,CompShg,None,0.0,3,4,CBlock,2.0,3.0,1.0,560.0,560.0,GasA,5,Y,FuseA,704,0,0,704,0.0,1.0,1,0,2,1,2,4,8,0,0,CarPort,1946.0,1.0,1.0,220.0,3,3,2,0,0,24,0,0,0,0,0,NA,0,9,2009,WD ,88750,0.007470015842525748,24,1288.0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
372,2493,532376250,20,RL,64.52599684773742,8638,Pave,NA,2,Lvl,AllPub,Inside,2,Sawyer,1Fam,1Story,5,6,1963,1963,Gable,CompShg,None,0.0,3,3,PConc,3.0,3.0,1.0,744.0,925.0,GasA,4,Y,SBrkr,925,0,0,925,1.0,0.0,1,0,2,1,3,5,8,0,0,Detchd,1990.0,1.0,2.0,484.0,3,3,2,203,74,0,0,0,0,0,0,NA,0,10,2006,WD ,133500,0.007470015842525748,277,2127.0,0,1,1,1,0,0,0,0,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
388,2716,905107240,20,RL,78.0,10335,Pave,NA,2,Lvl,AllPub,Inside,2,Sawyer,1Fam,1Story,5,6,1968,1993,Gable,CompShg,None,0.0,3,3,CBlock,3.0,3.0,1.0,891.0,1461.0,GasA,4,Y,SBrkr,1721,0,0,1721,0.0,0.0,2,1,3,1,3,7,7,1,3,Attchd,1968.0,2.0,2.0,440.0,3,3,2,0,96,180,0,0,0,0,3,NA,0,7,2006,WD ,180000,0.007470015842525748,276,3458.0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,2.5
390,84,532351140,90,RM,68.0,8930,Pave,NA,3,Lvl,AllPub,Inside,2,Sawyer,Duplex,1.5Fin,6,5,1978,1978,Gable,CompShg,None,0.0,3,3,Slab,0.0,0.0,0.0,0.0,0.0,GasA,3,Y,SBrkr,1318,584,0,1902,0.0,0.0,2,0,4,2,3,8,8,0,0,Attchd,1978.0,1.0,2.0,539.0,3,3,2,0,0,0,0,0,0,0,0,NA,0,4,2010,WD ,112000,0.007470015842525748,0,1902.0,0,1,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
415,2045,904100100,70,RL,107.0,12888,Pave,NA,3,Bnk,AllPub,Inside,2,Sawyer,1Fam,2Story,7,8,1937,1980,Gable,CompShg,None,0.0,3,4,CBlock,3.0,3.0,1.0,717.0,1005.0,GasA,3,Y,SBrkr,1262,1005,0,2267,1.0,0.0,1,1,3,1,3,7,8,2,4,Attchd,1937.0,0.0,2.0,498.0,3,3,2,521,0,0,0,0,0,0,0,NA,0,4,2007,WD ,219000,0.007470015842525748,521,3793.0,0,1,1,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
427,1379,905103030,80,RL,80.0,13014,Pave,NA,3,Lvl,AllPub,Inside,2,Sawyer,1Fam,SLvl,6,5,1978,1978,Gable,CompShg,BrkFace,39.0,3,3,CBlock,3.0,3.0,3.0,480.0,1008.0,GasA,3,Y,SBrkr,1096,0,0,1096,1.0,0.0,1,0,3,1,3,6,8,1,2,Attchd,1978.0,1.0,2.0,484.0,3,3,2,168,0,0,0,0,0,0,0,NA,0,12,2008,WD ,157500,0.007470015842525748,168,2272.0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1,0,0,1,0,0,0,0,0.0,0.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
452,774,905107310,85,RL,59.86470696200134,8014,Pave,NA,2,Lvl,AllPub,CulDSac,2,Sawyer,1Fam,SFoyer,6,5,1978,1978,Gable,CompShg,BrkFace,23.0,3,3,CBlock,4.0,3.0,4.0,0.0,456.0,GasA,3,Y,SBrkr,1034,0,0,1034,0.0,1.0,1,0,3,1,3,5,8,1,2,Basment,1978.0,0.0,2.0,504.0,3,3,2,0,0,0,0,0,0,0,0,NA,0,6,2009,WD ,149900,0.007470015842525748,0,1490.0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,456.0,0.0,0.0,0.0,0.0,1.0
508,562,532378120,20,RL,60.0,8281,Pave,NA,2,Lvl,AllPub,Inside,2,Sawyer,1Fam,1Story,5,5,1965,1965,Gable,CompShg,None,0.0,3,3,CBlock,3.0,3.0,1.0,0.0,864.0,GasA,4,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,3,1,3,5,8,1,1,Detchd,1965.0,1.0,1.0,360.0,3,3,2,0,0,236,0,0,0,0,2,NA,0,12,2009,WD ,62383,0.007470015842525748,236,1964.0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,553.0,0.0,1.0
534,2487,532351090,90,RM,70.0,9100,Pave,NA,3,Lvl,AllPub,Inside,2,Sawyer,Duplex,1Story,5,5,1963,1963,Gable,CompShg,BrkFace,336.0,3,3,CBlock,3.0,3.0,1.0,396.0,1728.0,GasA,3,Y,SBrkr,1728,0,0,1728,1.0,0.0,2,0,6,2,3,10,8,0,0,Detchd,1963.0,1.0,2.0,504.0,3,3,2,0,0,0,0,0,0,0,0,NA,0,11,2006,ConLI,125000,0.007470015842525748,0,3456.0,0,1,1,0,0,0,0,0,1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1332.0,0.0,2.0
557,1380,905104080,20,RL,53.500253464169404,7162,Pave,NA,2,Lvl,AllPub,Inside,2,Sawyer,1Fam,1Story,5,7,1966,1966,Gable,CompShg,BrkCmn,41.0,3,3,PConc,3.0,3.0,1.0,876.0,876.0,GasA,3,Y,SBrkr,904,0,0,904,0.0,0.0,1,0,3,1,3,6,8,0,0,Attchd,1966.0,1.0,1.0,408.0,3,3,2,0,0,0,0,0,0,0,3,NA,0,12,2008,WD ,109900,0.007470015842525748,0,1780.0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
566,2710,905103140,80,RL,96.0,11777,Pave,NA,2,Lvl,AllPub,Inside,2,Sawyer,1Fam,SLvl,5,6,1966,1966,Gable,CompShg,BrkFace,97.0,3,3,CBlock,3.0,3.0,3.0,285.0,1164.0,GasA,5,Y,SBrkr,1320,0,0,1320,1.0,0.0,1,0,3,1,3,6,8,2,2,Attchd,1966.0,2.0,2.0,564.0,3,3,2,160,68,240,0,0,0,0,0,NA,0,5,2006,WD ,164500,0.007470015842525748,468,2952.0,0,1,1,1,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,0.0,0.0,551.0,0.0,0.0,328.0,0.0,0.0,0.0,1.0
579,218,905101310,90,RL,72.0,10778,Pave,NA,3,Lvl,AllPub,Inside,2,Sawyer,Duplex,1Story,4,5,1968,1968,Hip,CompShg,None,0.0,3,3,CBlock,3.0,3.0,1.0,1768.0,1768.0,GasA,3,N,SBrkr,1768,0,0,1768,0.0,0.0,2,0,4,2,3,8,8,0,0,NA,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,NA,0,4,2010,WD ,136500,0.007470015842525748,0,3536.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
599,1397,905227050,50,RL,63.0,8375,Pave,NA,3,Lvl,AllPub,Corner,2,Sawyer,1Fam,1.5Fin,5,7,1941,1973,Gable,CompShg,None,0.0,3,3,BrkTil,3.0,3.0,1.0,240.0,576.0,GasA,4,Y,SBrkr,864,486,0,1350,1.0,0.0,1,1,2,1,4,6,7,0,0,2Types,1973.0,1.0,3.0,627.0,3,3,0,0,0,0,0,0,0,0,3,NA,0,6,2008,WD ,152400,0.007470015842525748,0,1926.0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
